,name,stats,current_players,peak_players,hours_played
86,Geometry Dash,https://steamcharts.com/app/322170,12444,15479,6442084
87,SUPER PEOPLE,https://steamcharts.com/app/1190340,12106,47189,15084758
88,BeamNG.drive,https://steamcharts.com/app/284160,11890,13996,5585304
89,Battlefield 1 ™,https://steamcharts.com/app/1238840,11770,53107,7046985
90,Counter-Strike,https://steamcharts.com/app/10,11639,14149,6115010
91,Assetto Corsa,https://steamcharts.com/app/244210,11452,12032,4824757
92,Fallout 76,https://steamcharts.com/app/1151340,11181,17059,7097640
93,NARAKA: BLADEPOINT,https://steamcharts.com/app/1203220,10991,162366,37008783
94,Sea of Thieves,https://steamcharts.com/app/1172620,10602,14798,5132104
95,Sonic Frontiers,https://steamcharts.com/app/1237320,10443,19104,803397
96,Grounded,https://steamcharts.com/app/962130,10236,25501,9089580
97,Path of Exile,https://steamcharts.com/app/238960,10177,20437,6745025
98,Vampire Survivors,https://steamcharts.com/app/1794680,10150,35264,9862350
99,Among Us,https://steamcharts.com/app/945360,10051,13627,4182210
